[Simulation 1] generations = 11 | descendants = 57 | [1, 2, 5, 6, 8, 3, 9, 7, 7, 5, 3, 2, 0]
[Simulation 5892] generations = 3 | descendants = 7 | [1, 2, 2, 3, 0]
[Simulation 5893] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5894] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5895] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5896] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5897] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5898] generations = 10 | descendants = 52 | [1, 1, 3, 4, 4, 4, 7, 10, 9, 9, 1, 0]
[Simulation 5899] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5900] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5901] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5902] generations = 25 | descendants = 104 | [1, 2, 1, 1, 1, 1, 1, 2, 1, 4, 7, 6, 9, 12, 15, 6, 7, 6, 5, 6, 2, 2, 3, 1, 1, 2, 0]
[Simulation 5903] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5904] generations = 7 | descendants = 14 | [1, 2, 2, 3, 3, 2, 1, 1, 0]
[Simulation 5905] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 5906] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5907] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5908] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5909] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5910] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5911] generations = 4 | descendants = 15 | [1, 4, 5, 4, 2, 0]
[Simulation 5912] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 5913] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5914] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5915] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5916] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5917] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5918] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5919] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 5920] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5921] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5922] generations = 4 | descendants = 5 | [1, 1, 2, 1, 1, 0]
[Simulation 5923] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 5924] generations = 2 | descendants = 4 | [1, 1, 3, 0]
[Simulation 5925] generations = 9 | descendants = 28 | [1, 3, 3, 7, 4, 2, 3, 2, 2, 2, 0]
[Simulation 5926] generations = 7 | descendants = 15 | [1, 2, 1, 1, 3, 3, 4, 1, 0]
[Simulation 5927] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5928] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5929] generations = 3 | descendants = 9 | [1, 4, 3, 2, 0]
[Simulation 5930] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5931] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5932] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5933] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5934] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5935] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5936] generations = 7 | descendants = 17 | [1, 1, 1, 2, 1, 4, 4, 4, 0]
[Simulation 5937] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5938] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5939] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5940] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5941] generations = 7 | descendants = 16 | [1, 3, 3, 2, 2, 1, 3, 2, 0]
[Simulation 5942] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5943] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 5944] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 5945] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5946] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5947] generations = 46 | descendants = 441 | [1, 3, 1, 4, 6, 2, 4, 4, 5, 8, 9, 7, 10, 11, 14, 21, 24, 14, 15, 14, 14, 16, 21, 20, 22, 15, 15, 18, 22, 16, 18, 13, 8, 7, 5, 5, 7, 4, 4, 3, 1, 3, 1, 1, 4, 1, 1, 0]
[Simulation 5948] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5949] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5950] generations = 33 | descendants = 150 | [1, 1, 4, 6, 5, 9, 9, 10, 4, 6, 8, 11, 10, 5, 4, 5, 2, 1, 3, 2, 1, 1, 3, 4, 3, 3, 3, 4, 5, 6, 5, 3, 1, 3, 0]
[Simulation 5951] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5952] generations = 5 | descendants = 11 | [1, 4, 3, 2, 1, 1, 0]
[Simulation 5953] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5954] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5955] generations = 10 | descendants = 34 | [1, 1, 1, 3, 3, 7, 4, 9, 3, 2, 1, 0]
[Simulation 5956] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5957] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 5958] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5959] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5960] generations = 4 | descendants = 7 | [1, 3, 1, 2, 1, 0]
[Simulation 5961] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5962] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 5963] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5964] generations = 5 | descendants = 12 | [1, 2, 2, 5, 2, 1, 0]
[Simulation 5965] generations = 17 | descendants = 86 | [1, 1, 2, 5, 5, 7, 8, 5, 2, 5, 7, 10, 10, 9, 3, 2, 4, 1, 0]
[Simulation 5966] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5967] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5968] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5969] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5970] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 5971] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 5972] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5973] generations = 12 | descendants = 65 | [1, 1, 3, 5, 6, 9, 12, 9, 7, 2, 3, 6, 2, 0]
[Simulation 5974] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5975] generations = 7 | descendants = 11 | [1, 2, 1, 1, 4, 1, 1, 1, 0]
[Simulation 5976] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5977] generations = 9 | descendants = 28 | [1, 4, 2, 4, 8, 1, 3, 2, 2, 2, 0]
[Simulation 5978] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5979] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5980] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5981] generations = 2 | descendants = 5 | [1, 4, 1, 0]
[Simulation 5982] generations = 5 | descendants = 19 | [1, 3, 4, 5, 6, 1, 0]
[Simulation 5983] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5984] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5985] generations = 5 | descendants = 7 | [1, 1, 1, 1, 3, 1, 0]
[Simulation 5986] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5987] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5988] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5989] generations = 40 | descendants = 896 | [1, 1, 1, 4, 6, 11, 9, 12, 9, 17, 20, 29, 36, 33, 38, 35, 31, 29, 39, 58, 61, 58, 62, 39, 35, 44, 39, 33, 26, 22, 13, 16, 6, 3, 3, 4, 2, 4, 2, 3, 3, 0]
[Simulation 5990] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5991] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5992] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5993] generations = 9 | descendants = 34 | [1, 1, 4, 8, 5, 4, 5, 2, 3, 2, 0]
[Simulation 5994] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5995] generations = 20 | descendants = 75 | [1, 2, 1, 2, 1, 4, 2, 4, 3, 5, 4, 1, 1, 4, 5, 7, 6, 7, 8, 4, 4, 0]
[Simulation 5996] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 5997] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 5998] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5999] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6000] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6001] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6002] generations = 3 | descendants = 5 | [1, 1, 3, 1, 0]
[Simulation 6003] generations = 6 | descendants = 14 | [1, 1, 2, 2, 6, 2, 1, 0]
[Simulation 6004] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6005] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6006] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6007] generations = 6 | descendants = 16 | [1, 4, 3, 1, 1, 2, 5, 0]
[Simulation 6008] generations = 3 | descendants = 6 | [1, 2, 1, 3, 0]
[Simulation 6009] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6010] generations = 7 | descendants = 19 | [1, 2, 4, 4, 3, 2, 2, 2, 0]
[Simulation 6011] generations = 24 | descendants = 101 | [1, 2, 2, 3, 5, 2, 3, 3, 3, 2, 4, 10, 10, 13, 8, 5, 3, 4, 6, 3, 3, 1, 3, 2, 1, 0]
[Simulation 6012] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6013] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6014] generations = 7 | descendants = 18 | [1, 1, 1, 3, 3, 4, 5, 1, 0]
[Simulation 6015] generations = 10 | descendants = 49 | [1, 4, 5, 4, 5, 6, 5, 8, 6, 3, 3, 0]
[Simulation 6016] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 6017] generations = 10 | descendants = 36 | [1, 4, 5, 4, 6, 3, 6, 2, 1, 3, 2, 0]
[Simulation 6018] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6019] generations = 4 | descendants = 7 | [1, 2, 3, 1, 1, 0]
[Simulation 6020] generations = 11 | descendants = 36 | [1, 4, 7, 3, 6, 4, 3, 4, 2, 1, 1, 1, 0]
[Simulation 6021] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6022] generations = 6 | descendants = 18 | [1, 3, 5, 4, 1, 3, 2, 0]
[Simulation 6023] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6024] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6025] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 6026] generations = 5 | descendants = 12 | [1, 2, 3, 4, 2, 1, 0]
[Simulation 6027] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6028] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6029] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6030] generations = 35 | descendants = 235 | [1, 2, 3, 5, 9, 8, 7, 10, 11, 9, 13, 13, 15, 15, 15, 15, 14, 9, 12, 7, 3, 4, 4, 8, 3, 2, 1, 1, 2, 6, 2, 2, 1, 2, 1, 1, 0]
[Simulation 6031] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6032] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6033] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6034] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6035] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6036] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6037] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6038] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6039] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6040] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6041] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6042] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 6043] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6044] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6045] generations = 6 | descendants = 29 | [1, 2, 4, 5, 10, 7, 1, 0]
[Simulation 6046] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6047] generations = 3 | descendants = 7 | [1, 2, 3, 2, 0]
[Simulation 6048] generations = 7 | descendants = 14 | [1, 1, 1, 1, 4, 4, 2, 1, 0]
[Simulation 6049] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6050] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6051] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6052] generations = 54 | descendants = 929 | [1, 3, 5, 4, 9, 9, 11, 13, 10, 13, 14, 13, 18, 18, 21, 24, 17, 26, 33, 26, 29, 30, 26, 20, 14, 12, 18, 24, 13, 13, 15, 14, 20, 28, 35, 24, 36, 45, 29, 30, 26, 22, 15, 15, 9, 16, 14, 12, 12, 11, 7, 3, 2, 2, 1, 0]
[Simulation 6053] generations = 4 | descendants = 13 | [1, 4, 4, 3, 2, 0]
[Simulation 6054] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 6055] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6056] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6057] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6058] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6059] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6060] generations = 21 | descendants = 102 | [1, 1, 4, 3, 2, 4, 5, 10, 9, 7, 6, 4, 5, 3, 4, 3, 5, 7, 7, 8, 4, 1, 0]
[Simulation 6061] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6062] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6063] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6064] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6065] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 6066] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6067] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6068] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6069] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6070] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6071] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6072] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6073] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6074] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6075] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6076] generations = 4 | descendants = 13 | [1, 4, 3, 5, 1, 0]
[Simulation 6077] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 6078] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6079] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6080] generations = 3 | descendants = 5 | [1, 1, 2, 2, 0]
[Simulation 6081] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6082] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6083] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6084] generations = 3 | descendants = 7 | [1, 3, 3, 1, 0]
[Simulation 6085] generations = 2 | descendants = 6 | [1, 4, 2, 0]
[Simulation 6086] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 6087] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6088] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6089] generations = 3 | descendants = 6 | [1, 1, 2, 3, 0]
[Simulation 6090] generations = 5 | descendants = 6 | [1, 1, 2, 1, 1, 1, 0]
[Simulation 6091] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6092] generations = 3 | descendants = 12 | [1, 3, 5, 4, 0]
[Simulation 6093] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6094] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6095] generations = 13 | descendants = 53 | [1, 4, 6, 4, 3, 2, 6, 5, 2, 3, 5, 7, 5, 1, 0]
[Simulation 6096] generations = 4 | descendants = 5 | [1, 1, 1, 2, 1, 0]
[Simulation 6097] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6098] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6099] generations = 16 | descendants = 31 | [1, 1, 4, 2, 2, 3, 3, 3, 1, 1, 2, 2, 1, 1, 1, 3, 1, 0]
[Simulation 6100] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 6101] generations = 2 | descendants = 6 | [1, 4, 2, 0]
[Simulation 6102] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 6103] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 6104] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6105] generations = 3 | descendants = 4 | [1, 2, 1, 1, 0]
[Simulation 6106] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6107] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6108] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6109] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6110] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6111] generations = 18 | descendants = 132 | [1, 1, 2, 5, 12, 7, 14, 9, 11, 9, 11, 9, 9, 7, 9, 7, 7, 2, 1, 0]
[Simulation 6112] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6113] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6114] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6115] generations = 18 | descendants = 156 | [1, 1, 3, 5, 7, 6, 7, 10, 10, 21, 14, 7, 10, 12, 13, 5, 10, 9, 6, 0]
[Simulation 6116] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6117] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6118] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6119] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6120] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6121] generations = 26 | descendants = 174 | [1, 3, 4, 3, 4, 4, 7, 8, 7, 13, 8, 8, 13, 7, 3, 6, 7, 3, 5, 7, 9, 11, 11, 12, 6, 3, 2, 0]
[Simulation 6122] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6123] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6124] generations = 2 | descendants = 6 | [1, 2, 4, 0]
[Simulation 6125] generations = 9 | descendants = 29 | [1, 4, 5, 5, 3, 5, 2, 2, 2, 1, 0]
[Simulation 6126] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6127] generations = 7 | descendants = 26 | [1, 1, 2, 5, 6, 6, 4, 2, 0]
[Simulation 6128] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6129] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6130] generations = 4 | descendants = 9 | [1, 2, 1, 3, 3, 0]
[Simulation 6131] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 6132] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6133] generations = 12 | descendants = 50 | [1, 2, 3, 2, 2, 3, 5, 7, 2, 7, 6, 7, 4, 0]
[Simulation 6134] generations = 23 | descendants = 82 | [1, 1, 4, 5, 7, 8, 2, 4, 1, 1, 1, 1, 1, 1, 3, 2, 6, 4, 3, 4, 9, 8, 3, 3, 0]
[Simulation 6135] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6136] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6137] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 6138] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6139] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6140] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6141] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6142] generations = 2 | descendants = 5 | [1, 4, 1, 0]
[Simulation 6143] generations = 16 | descendants = 150 | [1, 4, 4, 8, 9, 12, 15, 10, 15, 19, 22, 13, 8, 5, 3, 2, 1, 0]
[Simulation 6144] generations = 8 | descendants = 48 | [1, 1, 3, 5, 9, 7, 14, 7, 2, 0]
[Simulation 6145] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6146] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6147] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6148] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6149] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6150] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6151] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6152] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6153] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6154] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 6155] generations = 6 | descendants = 11 | [1, 1, 1, 3, 1, 3, 2, 0]
[Simulation 6156] generations = 4 | descendants = 8 | [1, 1, 3, 3, 1, 0]
[Simulation 6157] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6158] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6159] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6160] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6161] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6162] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6163] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6164] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6165] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6166] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6167] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6168] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6169] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6170] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6171] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6172] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6173] generations = 3 | descendants = 6 | [1, 2, 1, 3, 0]
[Simulation 6174] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6175] generations = 6 | descendants = 13 | [1, 2, 1, 2, 2, 3, 3, 0]
[Simulation 6176] generations = 7 | descendants = 21 | [1, 4, 2, 1, 2, 4, 5, 3, 0]
[Simulation 6177] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6178] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6179] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 6180] generations = 5 | descendants = 12 | [1, 3, 1, 4, 3, 1, 0]
[Simulation 6181] generations = 5 | descendants = 12 | [1, 1, 1, 3, 5, 2, 0]
[Simulation 6182] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 6183] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6184] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6185] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6186] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6187] generations = 6 | descendants = 27 | [1, 4, 7, 6, 6, 3, 1, 0]
[Simulation 6188] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6189] generations = 2 | descendants = 6 | [1, 3, 3, 0]
[Simulation 6190] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6191] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6192] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 6193] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6194] generations = 15 | descendants = 81 | [1, 2, 4, 9, 9, 4, 8, 5, 6, 7, 6, 5, 5, 6, 3, 2, 0]
[Simulation 6195] generations = 20 | descendants = 76 | [1, 4, 4, 2, 3, 1, 3, 2, 5, 8, 3, 4, 6, 8, 8, 4, 2, 2, 4, 1, 2, 0]
[Simulation 6196] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6197] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6198] generations = 4 | descendants = 9 | [1, 1, 1, 4, 3, 0]
[Simulation 6199] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6200] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6201] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6202] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6203] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6204] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6205] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6206] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6207] generations = 2 | descendants = 5 | [1, 4, 1, 0]
[Simulation 6208] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6209] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6210] generations = 3 | descendants = 6 | [1, 2, 3, 1, 0]
[Simulation 6211] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6212] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6213] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6214] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6215] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6216] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6217] generations = 29 | descendants = 117 | [1, 1, 2, 1, 2, 1, 1, 2, 4, 9, 12, 7, 5, 7, 3, 2, 2, 3, 2, 4, 5, 5, 2, 3, 2, 3, 10, 6, 7, 4, 0]
[Simulation 6218] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6219] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6220] generations = 30 | descendants = 243 | [1, 3, 6, 3, 4, 9, 7, 8, 11, 9, 14, 14, 17, 15, 9, 15, 17, 18, 16, 6, 5, 7, 3, 2, 4, 5, 9, 4, 1, 1, 1, 0]
[Simulation 6221] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6222] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6223] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6224] generations = 3 | descendants = 6 | [1, 2, 3, 1, 0]
[Simulation 6225] generations = 21 | descendants = 105 | [1, 4, 2, 2, 5, 3, 6, 4, 1, 4, 5, 7, 7, 12, 7, 5, 6, 10, 7, 4, 3, 1, 0]
[Simulation 6226] generations = 6 | descendants = 22 | [1, 3, 8, 3, 4, 3, 1, 0]
[Simulation 6227] generations = 15 | descendants = 44 | [1, 3, 3, 3, 4, 2, 1, 2, 1, 4, 5, 4, 2, 5, 3, 2, 0]
[Simulation 6228] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6229] generations = 2 | descendants = 5 | [1, 1, 4, 0]
[Simulation 6230] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6231] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6232] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6233] generations = 1 | descendants = 3 | [1, 3, 0]
[Simulation 6234] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 6235] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6236] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6237] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 6238] generations = 1 | descendants = 1 | [1, 1, 0]
